date,open,high,low,close,adjclose,volume,ticker
1/4/2021,65031.75781,66226.21875,64567.24609,65695.35156,65695.35156,1368164,VCB.VN
1/5/2021,65695.35156,66757.09375,65695.35156,65894.42188,65894.42188,1651969,VCB.VN
1/6/2021,66027.14063,70473.19531,65894.42188,69676.88281,69676.88281,3135070,VCB.VN
1/7/2021,69013.29688,71999.44531,69013.29688,71004.0625,71004.0625,1808044,VCB.VN
1/8/2021,71667.65625,71667.65625,69345.09375,69544.16406,69544.16406,1508311,VCB.VN
1/11/2021,69411.45313,70141.39844,69079.65625,69345.09375,69345.09375,1276994,VCB.VN
1/12/2021,70075.03906,70075.03906,69146.01563,70075.03906,70075.03906,1270288,VCB.VN
1/13/2021,70075.03906,70406.83594,69013.29688,69544.16406,69544.16406,2016608,VCB.VN
1/14/2021,69676.88281,69809.60156,68548.78125,68946.9375,68946.9375,1404784,VCB.VN
1/15/2021,69544.16406,69610.52344,68017.91406,68482.42188,68482.42188,1812264,VCB.VN
1/18/2021,68681.5,69676.88281,68349.70313,68548.78125,68548.78125,1676337,VCB.VN
1/19/2021,68416.0625,68548.78125,63770.94141,65695.35156,65695.35156,3618382,VCB.VN
1/20/2021,65695.35156,70274.11719,65031.75781,65761.71094,65761.71094,3154058,VCB.VN
1/21/2021,65761.71094,68349.70313,65031.75781,68349.70313,68349.70313,1990236,VCB.VN
1/22/2021,68349.70313,69013.29688,67686.11719,68349.70313,68349.70313,2827651,VCB.VN
1/25/2021,67088.88281,68349.70313,67088.88281,68017.91406,68017.91406,1124038,VCB.VN
1/26/2021,68017.91406,68017.91406,65695.35156,66956.17188,66956.17188,1462500,VCB.VN
1/27/2021,65761.71094,66358.9375,62311.04297,64633.60547,64633.60547,2500040,VCB.VN
1/28/2021,61050.22266,61912.89063,60121.19922,60121.19922,60121.19922,2730151,VCB.VN
1/29/2021,56736.89063,64301.8125,56736.89063,61713.8125,61713.8125,2047953,VCB.VN
2/1/2021,63704.58203,63704.58203,60386.63281,60452.99219,60452.99219,2006209,VCB.VN
2/2/2021,61050.22266,64169.09375,61050.22266,64036.375,64036.375,1737217,VCB.VN
2/3/2021,64965.40234,65695.35156,64102.73438,65628.99219,65628.99219,2226677,VCB.VN
2/4/2021,65628.99219,65695.35156,62311.04297,65628.99219,65628.99219,1457677,VCB.VN
2/5/2021,65628.99219,66358.9375,64965.40234,66358.9375,66358.9375,1560150,VCB.VN
2/8/2021,65695.35156,66226.21875,61780.17188,62443.76172,62443.76172,4373487,VCB.VN
2/9/2021,64368.17188,64633.60547,61780.17188,64500.88672,64500.88672,4489070,VCB.VN
2/10/2021,,,,,,,VCB.VN
2/11/2021,,,,,,,VCB.VN
2/12/2021,,,,,,,VCB.VN
2/15/2021,,,,,,,VCB.VN
2/16/2021,,,,,,,VCB.VN
2/17/2021,64699.96484,66358.9375,64699.96484,66358.9375,66358.9375,1588481,VCB.VN
2/18/2021,65695.35156,67686.11719,65031.75781,67686.11719,67686.11719,2545097,VCB.VN
2/19/2021,65828.07031,67487.03906,65761.71094,67221.60156,67221.60156,2926809,VCB.VN
2/22/2021,66690.73438,67686.11719,66558.01563,66757.09375,66757.09375,2092709,VCB.VN
2/23/2021,66358.9375,67022.53125,65828.07031,66358.9375,66358.9375,2172125,VCB.VN
2/24/2021,66690.73438,67022.53125,64036.375,65098.11719,65098.11719,2004702,VCB.VN
2/25/2021,65695.35156,66027.14063,64766.32422,65164.47656,65164.47656,1389563,VCB.VN
2/26/2021,64567.24609,65695.35156,64368.17188,65164.47656,65164.47656,1644720,VCB.VN
3/1/2021,65164.47656,65894.42188,65164.47656,65828.07031,65828.07031,1471090,VCB.VN
3/2/2021,66358.9375,67553.39844,65031.75781,65894.42188,65894.42188,1877214,VCB.VN
3/3/2021,65230.83594,65960.78125,65164.47656,65297.19531,65297.19531,1454904,VCB.VN
3/4/2021,65429.91406,66027.14063,61780.17188,64567.24609,64567.24609,1782878,VCB.VN
3/5/2021,64434.52734,64500.88672,63040.99219,63970.01563,63970.01563,2618486,VCB.VN
3/8/2021,64368.17188,64368.17188,63040.99219,63173.71094,63173.71094,2293284,VCB.VN
3/9/2021,63040.99219,63040.99219,61780.17188,63040.99219,63040.99219,2184030,VCB.VN
3/10/2021,63040.99219,63571.86328,62377.40234,63372.78516,63372.78516,1642430,VCB.VN
3/11/2021,63571.86328,64235.45313,63571.86328,63903.65625,63903.65625,1625703,VCB.VN
3/12/2021,63903.65625,64036.375,62709.19531,63571.86328,63571.86328,1996414,VCB.VN
3/15/2021,63704.58203,64368.17188,63372.78516,63903.65625,63903.65625,2206785,VCB.VN
3/16/2021,63704.58203,63704.58203,63107.35156,63505.50391,63505.50391,988260,VCB.VN
3/17/2021,63372.78516,63571.86328,63040.99219,63439.14453,63439.14453,1965672,VCB.VN
3/18/2021,63837.29688,64699.96484,63372.78516,64699.96484,64699.96484,2464023,VCB.VN
3/19/2021,64434.52734,64434.52734,62510.12109,62510.12109,62510.12109,2404649,VCB.VN
3/22/2021,63704.58203,64699.96484,63306.42578,64368.17188,64368.17188,2982265,VCB.VN
3/23/2021,64301.8125,64301.8125,63306.42578,63571.86328,63571.86328,1456924,VCB.VN
3/24/2021,63040.99219,63638.22266,62443.76172,62841.91406,62841.91406,2275201,VCB.VN
3/25/2021,62841.91406,63704.58203,62709.19531,63107.35156,63107.35156,1864555,VCB.VN
3/26/2021,63040.99219,63372.78516,62178.32422,62974.63281,62974.63281,1842704,VCB.VN
3/29/2021,63173.71094,63571.86328,62045.60547,63240.06641,63240.06641,4363842,VCB.VN
3/30/2021,63240.06641,63240.06641,62443.76172,62908.27344,62908.27344,3956814,VCB.VN
3/31/2021,62709.19531,63107.35156,62443.76172,62908.27344,62908.27344,1462650,VCB.VN
4/1/2021,63173.71094,64832.68359,63173.71094,64301.8125,64301.8125,4969337,VCB.VN
4/2/2021,64699.96484,65363.55469,64301.8125,64899.04297,64899.04297,3588965,VCB.VN
4/5/2021,66358.9375,68216.99219,65429.91406,67686.11719,67686.11719,5452769,VCB.VN
4/6/2021,67686.11719,68017.91406,66690.73438,67619.75781,67619.75781,3455751,VCB.VN
4/7/2021,67022.53125,67686.11719,66624.375,67619.75781,67619.75781,1782276,VCB.VN
4/8/2021,67619.75781,67619.75781,66027.14063,66358.9375,66358.9375,2374058,VCB.VN
4/9/2021,66027.14063,66027.14063,64699.96484,64699.96484,64699.96484,3167169,VCB.VN
4/12/2021,65363.55469,65828.07031,64633.60547,65628.99219,65628.99219,4023722,VCB.VN
4/13/2021,66358.9375,66358.9375,64699.96484,64699.96484,64699.96484,2517972,VCB.VN
4/14/2021,64567.24609,65496.27344,64301.8125,65496.27344,65496.27344,2165193,VCB.VN
4/15/2021,66226.21875,66226.21875,64235.45313,64699.96484,64699.96484,3244173,VCB.VN
4/16/2021,64567.24609,65363.55469,63704.58203,63903.65625,63903.65625,2435089,VCB.VN
4/19/2021,64368.17188,65363.55469,63571.86328,65363.55469,65363.55469,2273243,VCB.VN
4/20/2021,65761.71094,69676.88281,65363.55469,68349.70313,68349.70313,9454943,VCB.VN
4/21/2021,,,,,,,VCB.VN
4/22/2021,68349.70313,70075.03906,67818.83594,68349.70313,68349.70313,4990585,VCB.VN
4/23/2021,68349.70313,69013.29688,66690.73438,69013.29688,69013.29688,3886137,VCB.VN
4/26/2021,69013.29688,69013.29688,64965.40234,65429.91406,65429.91406,5568804,VCB.VN
4/27/2021,65429.91406,66093.5,64832.68359,65695.35156,65695.35156,1795989,VCB.VN
4/28/2021,65695.35156,65894.42188,64832.68359,65695.35156,65695.35156,2341658,VCB.VN
4/29/2021,65695.35156,66358.9375,65031.75781,66358.9375,66358.9375,2434788,VCB.VN
4/30/2021,,,,,,,VCB.VN
5/3/2021,,,,,,,VCB.VN
5/4/2021,65695.35156,66093.5,65031.75781,65761.71094,65761.71094,2489188,VCB.VN
5/5/2021,65761.71094,67686.11719,65761.71094,67155.24219,67155.24219,2856736,VCB.VN
5/6/2021,67155.24219,67487.03906,65695.35156,65894.42188,65894.42188,1749877,VCB.VN
5/7/2021,65628.99219,65695.35156,64169.09375,64368.17188,64368.17188,3443092,VCB.VN
5/10/2021,64169.09375,65164.47656,63638.22266,65098.11719,65098.11719,2626624,VCB.VN
5/11/2021,65164.47656,65894.42188,64699.96484,64965.40234,64965.40234,1916094,VCB.VN
5/12/2021,64965.40234,64965.40234,64368.17188,64567.24609,64567.24609,1835923,VCB.VN
5/13/2021,64500.88672,64899.04297,64235.45313,64235.45313,64235.45313,2662791,VCB.VN
5/14/2021,64633.60547,65230.83594,64102.73438,64301.8125,64301.8125,2175440,VCB.VN
5/17/2021,64434.52734,64567.24609,63571.86328,63704.58203,63704.58203,2584579,VCB.VN
5/18/2021,63240.06641,63704.58203,62709.19531,62775.55469,62775.55469,3169730,VCB.VN
5/19/2021,62775.55469,62775.55469,62244.68359,62443.76172,62443.76172,2619239,VCB.VN
5/20/2021,62443.76172,65695.35156,62443.76172,65695.35156,65695.35156,2920630,VCB.VN
5/21/2021,63903.65625,65031.75781,63704.58203,64235.45313,64235.45313,2711314,VCB.VN
5/24/2021,64699.96484,65363.55469,64036.375,64633.60547,64633.60547,2825090,VCB.VN
5/25/2021,64633.60547,66358.9375,64633.60547,66226.21875,66226.21875,6705954,VCB.VN
5/26/2021,66292.57813,67553.39844,66159.85938,66624.375,66624.375,3550388,VCB.VN
5/27/2021,66624.375,66624.375,65031.75781,65496.27344,65496.27344,2740248,VCB.VN
5/28/2021,65695.35156,67088.88281,64766.32422,66093.5,66093.5,3360511,VCB.VN
5/31/2021,67022.53125,67022.53125,65230.83594,65429.91406,65429.91406,4251122,VCB.VN
6/1/2021,65960.78125,69146.01563,65496.27344,68814.21875,68814.21875,6892063,VCB.VN
6/2/2021,69013.29688,71335.85938,68814.21875,70340.47656,70340.47656,8161823,VCB.VN
6/3/2021,70406.83594,71667.65625,70340.47656,70804.98438,70804.98438,4222490,VCB.VN
6/4/2021,70672.26563,70672.26563,69079.65625,69610.52344,69610.52344,4439190,VCB.VN
6/7/2021,69212.375,69610.52344,67155.24219,68349.70313,68349.70313,4556883,VCB.VN
6/8/2021,68349.70313,69013.29688,66358.9375,66358.9375,66358.9375,3543757,VCB.VN
6/9/2021,66358.9375,67686.11719,65828.07031,67686.11719,67686.11719,3667779,VCB.VN
6/10/2021,67686.11719,68283.34375,66358.9375,67553.39844,67553.39844,3439627,VCB.VN
6/11/2021,67088.88281,68681.5,66690.73438,68216.99219,68216.99219,3086245,VCB.VN
6/14/2021,67752.47656,68615.14063,67221.60156,67686.11719,67686.11719,2333822,VCB.VN
6/15/2021,67752.47656,68349.70313,67022.53125,68216.99219,68216.99219,2171071,VCB.VN
6/16/2021,68017.91406,70340.47656,68017.91406,69013.29688,69013.29688,4367760,VCB.VN
6/17/2021,69013.29688,69676.88281,67686.11719,69146.01563,69146.01563,4364294,VCB.VN
6/18/2021,69345.09375,72331.24219,69212.375,71999.44531,71999.44531,5763955,VCB.VN
6/21/2021,71667.65625,71800.36719,70340.47656,70738.625,70738.625,4532772,VCB.VN
6/22/2021,71070.42188,71999.44531,70672.26563,71402.21875,71402.21875,3271601,VCB.VN
6/23/2021,71667.65625,73658.42188,71004.0625,72795.75781,72795.75781,4045573,VCB.VN
6/24/2021,72994.82813,73525.70313,71534.9375,73459.34375,73459.34375,1723053,VCB.VN
6/25/2021,73459.34375,74852.88281,72264.88281,74720.16406,74720.16406,3499136,VCB.VN
6/28/2021,74720.16406,74985.60156,73724.78125,74720.16406,74720.16406,3557169,VCB.VN
6/29/2021,74322.00781,75649.1875,73990.21875,75649.1875,75649.1875,3546017,VCB.VN
6/30/2021,75649.1875,77772.67188,75649.1875,77241.80469,77241.80469,5028712,VCB.VN
7/1/2021,77440.88281,77507.24219,76312.78125,77241.80469,77241.80469,3098903,VCB.VN
7/2/2021,77241.80469,77374.52344,75649.1875,76246.42188,76246.42188,2663228,VCB.VN
7/5/2021,75582.82813,75582.82813,73592.0625,75383.75,75383.75,3619255,VCB.VN
7/6/2021,74653.80469,76312.78125,74322.00781,74322.00781,74322.00781,2605375,VCB.VN
7/7/2021,74322.00781,75251.03906,70340.47656,75251.03906,75251.03906,4164170,VCB.VN
7/8/2021,73791.14063,74985.60156,72331.24219,73658.42188,73658.42188,2069351,VCB.VN
7/9/2021,72994.82813,73724.78125,70871.34375,72862.11719,72862.11719,4238916,VCB.VN
7/12/2021,72663.03906,72663.03906,68416.0625,71070.42188,71070.42188,3715701,VCB.VN
7/13/2021,70937.70313,70937.70313,67752.47656,68615.14063,68615.14063,3280643,VCB.VN
7/14/2021,68615.14063,68681.5,66358.9375,67553.39844,67553.39844,3491164,VCB.VN
7/15/2021,66491.65625,69345.09375,66491.65625,68017.91406,68017.91406,3525221,VCB.VN
7/16/2021,68017.91406,68615.14063,67022.53125,68017.91406,68017.91406,2437198,VCB.VN
7/19/2021,66358.9375,66491.65625,63638.22266,64368.17188,64368.17188,3843491,VCB.VN
7/20/2021,64899.04297,67022.53125,62045.60547,66491.65625,66491.65625,3896234,VCB.VN
7/21/2021,66027.14063,66690.73438,65230.83594,65695.35156,65695.35156,2205731,VCB.VN
7/22/2021,65628.99219,66823.45313,65031.75781,66558.01563,66558.01563,2257570,VCB.VN
7/23/2021,65894.42188,66226.21875,64368.17188,64368.17188,64368.17188,2023539,VCB.VN
7/26/2021,64036.375,64699.96484,63505.50391,63704.58203,63704.58203,1945177,VCB.VN
7/27/2021,64699.96484,64766.32422,63040.99219,63040.99219,63040.99219,4047984,VCB.VN
7/28/2021,63107.35156,64368.17188,63107.35156,64368.17188,64368.17188,2246569,VCB.VN
7/29/2021,64633.60547,64965.40234,64368.17188,64965.40234,64965.40234,1795989,VCB.VN
7/30/2021,64567.24609,65562.63281,64500.88672,65031.75781,65031.75781,2351604,VCB.VN
8/2/2021,64368.17188,65496.27344,63970.01563,64368.17188,64368.17188,1717176,VCB.VN
8/3/2021,64434.52734,65562.63281,64368.17188,65562.63281,65562.63281,1838937,VCB.VN
8/4/2021,65828.07031,65894.42188,65098.11719,65363.55469,65363.55469,1719737,VCB.VN
8/5/2021,65031.75781,66027.14063,64965.40234,65960.78125,65960.78125,1699394,VCB.VN
8/6/2021,66226.21875,66226.21875,65098.11719,65098.11719,65098.11719,1572959,VCB.VN
8/9/2021,65098.11719,65628.99219,64832.68359,65230.83594,65230.83594,1772631,VCB.VN
8/10/2021,65695.35156,65828.07031,65363.55469,65695.35156,65695.35156,2407211,VCB.VN
8/11/2021,65894.42188,67487.03906,65761.71094,66690.73438,66690.73438,2579456,VCB.VN
8/12/2021,66690.73438,66889.8125,66027.14063,66292.57813,66292.57813,1580193,VCB.VN
8/13/2021,66292.57813,66292.57813,65230.83594,66093.5,66093.5,2363810,VCB.VN
8/16/2021,66093.5,66757.09375,65695.35156,66757.09375,66757.09375,3094382,VCB.VN
8/17/2021,68017.91406,68349.70313,67022.53125,67022.53125,67022.53125,2909479,VCB.VN
8/18/2021,67022.53125,68017.91406,66159.85938,67022.53125,67022.53125,2784854,VCB.VN
8/19/2021,66823.45313,68349.70313,66226.21875,68216.99219,68216.99219,3944607,VCB.VN
8/20/2021,67155.24219,67619.75781,65960.78125,66425.29688,66425.29688,2803691,VCB.VN
8/23/2021,65695.35156,66358.9375,64102.73438,64567.24609,64567.24609,3218405,VCB.VN
8/24/2021,65828.07031,65828.07031,64036.375,64368.17188,64368.17188,1642732,VCB.VN
8/25/2021,64368.17188,65695.35156,64235.45313,64699.96484,64699.96484,1686584,VCB.VN
8/26/2021,64899.04297,65695.35156,64235.45313,64235.45313,64235.45313,1746410,VCB.VN
8/27/2021,63704.58203,65363.55469,63704.58203,64899.04297,64899.04297,1667596,VCB.VN
8/30/2021,65297.19531,65960.78125,64899.04297,65894.42188,65894.42188,2324321,VCB.VN
8/31/2021,66027.14063,66292.57813,65230.83594,65960.78125,65960.78125,1527902,VCB.VN
9/1/2021,65960.78125,66292.57813,63704.58203,65960.78125,65960.78125,1367562,VCB.VN
9/2/2021,,,,,,,VCB.VN
9/3/2021,,,,,,,VCB.VN
9/6/2021,65960.78125,66425.29688,65960.78125,66358.9375,66358.9375,1474857,VCB.VN
9/7/2021,66292.57813,66889.8125,66226.21875,66358.9375,66358.9375,1693516,VCB.VN
9/8/2021,66358.9375,66425.29688,64235.45313,66159.85938,66159.85938,1398455,VCB.VN
9/9/2021,66159.85938,66425.29688,65429.91406,65894.42188,65894.42188,1263130,VCB.VN
9/10/2021,66226.21875,66226.21875,65429.91406,65828.07031,65828.07031,1416236,VCB.VN
9/13/2021,65562.63281,65695.35156,65098.11719,65098.11719,65098.11719,1571905,VCB.VN
9/14/2021,65098.11719,65363.55469,64368.17188,65230.83594,65230.83594,4146389,VCB.VN
9/15/2021,65230.83594,65230.83594,64434.52734,64434.52734,64434.52734,1326874,VCB.VN
9/16/2021,65628.99219,65628.99219,64699.96484,65098.11719,65098.11719,859567,VCB.VN
9/17/2021,64699.96484,65297.19531,64500.88672,64500.88672,64500.88672,1541917,VCB.VN
9/20/2021,64567.24609,67022.53125,64567.24609,66093.5,66093.5,3556264,VCB.VN
9/21/2021,66027.14063,66226.21875,65031.75781,65031.75781,65031.75781,1298996,VCB.VN
9/22/2021,65297.19531,66027.14063,65031.75781,66027.14063,66027.14063,1380672,VCB.VN
9/23/2021,66093.5,66624.375,65363.55469,66027.14063,66027.14063,1142272,VCB.VN
9/24/2021,66027.14063,66226.21875,65894.42188,66027.14063,66027.14063,685212,VCB.VN
9/27/2021,66027.14063,66159.85938,65031.75781,65031.75781,65031.75781,781958,VCB.VN
9/28/2021,64899.04297,65894.42188,64699.96484,65828.07031,65828.07031,853690,VCB.VN
9/29/2021,66027.14063,66027.14063,64699.96484,65363.55469,65363.55469,851430,VCB.VN
9/30/2021,65363.55469,65429.91406,64434.52734,64500.88672,64500.88672,1940808,VCB.VN
10/1/2021,64567.24609,65164.47656,63571.86328,63638.22266,63638.22266,4613918,VCB.VN
10/4/2021,63704.58203,64036.375,62642.83594,62775.55469,62775.55469,1445621,VCB.VN
10/5/2021,63107.35156,63770.94141,63107.35156,63439.14453,63439.14453,1599934,VCB.VN
10/6/2021,63439.14453,63439.14453,62908.27344,63439.14453,63439.14453,1165178,VCB.VN
10/7/2021,63439.14453,64235.45313,63040.99219,64235.45313,64235.45313,1276541,VCB.VN
10/8/2021,64102.73438,64368.17188,63439.14453,64368.17188,64368.17188,1183713,VCB.VN
10/11/2021,64368.17188,65297.19531,64235.45313,64699.96484,64699.96484,1775194,VCB.VN
10/12/2021,65230.83594,65230.83594,64368.17188,64368.17188,64368.17188,1376604,VCB.VN
10/13/2021,64965.40234,65031.75781,64368.17188,64368.17188,64368.17188,2344521,VCB.VN
10/14/2021,64368.17188,64500.88672,63638.22266,64169.09375,64169.09375,2813034,VCB.VN
10/15/2021,64235.45313,64567.24609,64036.375,64036.375,64036.375,1102338,VCB.VN
10/18/2021,63903.65625,64368.17188,63040.99219,63704.58203,63704.58203,2035746,VCB.VN
10/19/2021,63770.94141,64036.375,63173.71094,63970.01563,63970.01563,1383836,VCB.VN
10/20/2021,63970.01563,64169.09375,62377.40234,63040.99219,63040.99219,2352358,VCB.VN
10/21/2021,63306.42578,63704.58203,62377.40234,62377.40234,62377.40234,2002894,VCB.VN
10/22/2021,63040.99219,63040.99219,62377.40234,62576.48047,62576.48047,485239,VCB.VN
10/25/2021,63638.22266,63638.22266,62443.76172,62443.76172,62443.76172,1206167,VCB.VN
10/26/2021,62443.76172,62775.55469,62111.96484,62377.40234,62377.40234,1107612,VCB.VN
10/27/2021,62775.55469,64036.375,62576.48047,63770.94141,63770.94141,2203319,VCB.VN
10/28/2021,64102.73438,64965.40234,63770.94141,64965.40234,64965.40234,2800225,VCB.VN
10/29/2021,64567.24609,65297.19531,64301.8125,65031.75781,65031.75781,1966275,VCB.VN
11/1/2021,65098.11719,65164.47656,64368.17188,64368.17188,64368.17188,1623745,VCB.VN
11/2/2021,64633.60547,65031.75781,64567.24609,64965.40234,64965.40234,1218071,VCB.VN
11/3/2021,64832.68359,65562.63281,64567.24609,65496.27344,65496.27344,3551442,VCB.VN
11/4/2021,65496.27344,65562.63281,64500.88672,65297.19531,65297.19531,1490981,VCB.VN
11/5/2021,64699.96484,65695.35156,64368.17188,64699.96484,64699.96484,2374962,VCB.VN
11/8/2021,65098.11719,65297.19531,64699.96484,65164.47656,65164.47656,1817690,VCB.VN
11/9/2021,65031.75781,65429.91406,64368.17188,64434.52734,64434.52734,2163084,VCB.VN
11/10/2021,64434.52734,65164.47656,64235.45313,64766.32422,64766.32422,1321298,VCB.VN
11/11/2021,64899.04297,65894.42188,64368.17188,65230.83594,65230.83594,1681159,VCB.VN
11/12/2021,65230.83594,65230.83594,64699.96484,65164.47656,65164.47656,1019906,VCB.VN
11/15/2021,65230.83594,65695.35156,64500.88672,64832.68359,64832.68359,1257855,VCB.VN
11/16/2021,64832.68359,65363.55469,64368.17188,64500.88672,64500.88672,1063608,VCB.VN
11/17/2021,64500.88672,65098.11719,64500.88672,65031.75781,65031.75781,1281363,VCB.VN
11/18/2021,65230.83594,65230.83594,64368.17188,64368.17188,64368.17188,1233744,VCB.VN
11/19/2021,64500.88672,64965.40234,64434.52734,64434.52734,64434.52734,621317,VCB.VN
11/22/2021,64567.24609,65628.99219,64434.52734,65562.63281,65562.63281,1626456,VCB.VN
11/23/2021,65695.35156,65761.71094,65164.47656,65761.71094,65761.71094,991878,VCB.VN
11/24/2021,65828.07031,70075.03906,65828.07031,69544.16406,69544.16406,2836994,VCB.VN
11/25/2021,69676.88281,71667.65625,69411.45313,71070.42188,71070.42188,2347083,VCB.VN
11/26/2021,70804.98438,71800.36719,69013.29688,69676.88281,69676.88281,1450595,VCB.VN
11/29/2021,68548.78125,69610.52344,67022.53125,67088.88281,67088.88281,1282419,VCB.VN
11/30/2021,69013.29688,69013.29688,65628.99219,65628.99219,65628.99219,2014046,VCB.VN
12/1/2021,65960.78125,67354.32031,65230.83594,65695.35156,65695.35156,956163,VCB.VN
